
==> Starting time is t1: 1515285788, Sat Jan  6 16:43:08 PST 2018 

2018-01-06T16:43:08.046-0800	connected to: localhost
2018-01-06T16:50:35.044-0800	[........................] jagdb.xaa700m_row	913MB/44.3GB (2.0%)
2018-01-06T16:50:38.044-0800	[........................] jagdb.xaa700m_row	920MB/44.3GB (2.0%)
2018-01-06T16:50:41.044-0800	[........................] jagdb.xaa700m_row	926MB/44.3GB (2.0%)
2018-01-06T16:50:44.044-0800	[........................] jagdb.xaa700m_row	933MB/44.3GB (2.1%)
2018-01-06T16:50:47.044-0800	[........................] jagdb.xaa700m_row	939MB/44.3GB (2.1%)
2018-01-06T16:50:50.044-0800	[........................] jagdb.xaa700m_row	945MB/44.3GB (2.1%)
2018-01-06T16:50:53.044-0800	[........................] jagdb.xaa700m_row	952MB/44.3GB (2.1%)
2018-01-06T16:50:56.044-0800	[........................] jagdb.xaa700m_row	958MB/44.3GB (2.1%)
2018-01-06T16:50:59.044-0800	[........................] jagdb.xaa700m_row	964MB/44.3GB (2.1%)
2018-01-06T16:51:02.044-0800	[........................] jagdb.xaa700m_row	971MB/44.3GB (2.1%)
2018-01-06T16:51:05.044-0800	[........................] jagdb.xaa700m_row	975MB/44.3GB (2.1%)
2018-01-06T16:51:08.044-0800	[........................] jagdb.xaa700m_row	980MB/44.3GB (2.2%)
2018-01-06T16:51:11.044-0800	[........................] jagdb.xaa700m_row	984MB/44.3GB (2.2%)
2018-01-06T16:51:14.044-0800	[........................] jagdb.xaa700m_row	990MB/44.3GB (2.2%)
2018-01-06T16:51:17.044-0800	[........................] jagdb.xaa700m_row	996MB/44.3GB (2.2%)
2018-01-06T16:51:20.044-0800	[........................] jagdb.xaa700m_row	1003MB/44.3GB (2.2%)
2018-01-06T16:51:23.044-0800	[........................] jagdb.xaa700m_row	1009MB/44.3GB (2.2%)
2018-01-06T16:51:26.044-0800	[........................] jagdb.xaa700m_row	1015MB/44.3GB (2.2%)
2018-01-06T16:51:29.044-0800	[........................] jagdb.xaa700m_row	1022MB/44.3GB (2.3%)
2018-01-06T16:51:32.044-0800	[........................] jagdb.xaa700m_row	1.00GB/44.3GB (2.3%)
2018-01-06T16:51:35.044-0800	[........................] jagdb.xaa700m_row	1.01GB/44.3GB (2.3%)
2018-01-06T16:51:38.044-0800	[........................] jagdb.xaa700m_row	1.02GB/44.3GB (2.3%)
2018-01-06T16:51:41.044-0800	[........................] jagdb.xaa700m_row	1.02GB/44.3GB (2.3%)
2018-01-06T16:51:44.044-0800	[........................] jagdb.xaa700m_row	1.03GB/44.3GB (2.3%)
2018-01-06T16:51:47.044-0800	[........................] jagdb.xaa700m_row	1.04GB/44.3GB (2.3%)
2018-01-06T16:51:50.044-0800	[........................] jagdb.xaa700m_row	1.04GB/44.3GB (2.3%)
2018-01-06T16:51:53.044-0800	[........................] jagdb.xaa700m_row	1.05GB/44.3GB (2.4%)
2018-01-06T16:51:56.044-0800	[........................] jagdb.xaa700m_row	1.05GB/44.3GB (2.4%)
2018-01-06T16:51:59.044-0800	[........................] jagdb.xaa700m_row	1.06GB/44.3GB (2.4%)
2018-01-06T16:52:02.044-0800	[........................] jagdb.xaa700m_row	1.07GB/44.3GB (2.4%)
2018-01-06T16:52:05.044-0800	[........................] jagdb.xaa700m_row	1.07GB/44.3GB (2.4%)
2018-01-06T16:52:08.044-0800	[........................] jagdb.xaa700m_row	1.08GB/44.3GB (2.4%)
2018-01-06T16:52:11.044-0800	[........................] jagdb.xaa700m_row	1.08GB/44.3GB (2.4%)
2018-01-06T16:52:14.044-0800	[........................] jagdb.xaa700m_row	1.09GB/44.3GB (2.5%)
2018-01-06T16:52:17.044-0800	[........................] jagdb.xaa700m_row	1.09GB/44.3GB (2.5%)
2018-01-06T16:52:20.044-0800	[........................] jagdb.xaa700m_row	1.10GB/44.3GB (2.5%)
2018-01-06T16:52:23.044-0800	[........................] jagdb.xaa700m_row	1.10GB/44.3GB (2.5%)
2018-01-06T16:52:26.044-0800	[........................] jagdb.xaa700m_row	1.11GB/44.3GB (2.5%)
2018-01-06T16:52:29.044-0800	[........................] jagdb.xaa700m_row	1.11GB/44.3GB (2.5%)
2018-01-06T16:52:32.044-0800	[........................] jagdb.xaa700m_row	1.12GB/44.3GB (2.5%)
2018-01-06T16:52:35.044-0800	[........................] jagdb.xaa700m_row	1.13GB/44.3GB (2.5%)
2018-01-06T16:52:38.044-0800	[........................] jagdb.xaa700m_row	1.13GB/44.3GB (2.6%)
2018-01-06T16:52:41.044-0800	[........................] jagdb.xaa700m_row	1.14GB/44.3GB (2.6%)
2018-01-06T16:52:44.044-0800	[........................] jagdb.xaa700m_row	1.15GB/44.3GB (2.6%)
2018-01-06T16:52:47.044-0800	[........................] jagdb.xaa700m_row	1.15GB/44.3GB (2.6%)
2018-01-06T16:52:50.044-0800	[........................] jagdb.xaa700m_row	1.16GB/44.3GB (2.6%)
2018-01-06T16:52:53.044-0800	[........................] jagdb.xaa700m_row	1.16GB/44.3GB (2.6%)
2018-01-06T16:52:56.044-0800	[........................] jagdb.xaa700m_row	1.17GB/44.3GB (2.6%)
2018-01-06T16:52:59.044-0800	[........................] jagdb.xaa700m_row	1.18GB/44.3GB (2.7%)
2018-01-06T16:53:02.044-0800	[........................] jagdb.xaa700m_row	1.18GB/44.3GB (2.7%)
2018-01-06T16:53:05.044-0800	[........................] jagdb.xaa700m_row	1.19GB/44.3GB (2.7%)
2018-01-06T16:53:08.044-0800	[........................] jagdb.xaa700m_row	1.20GB/44.3GB (2.7%)
2018-01-06T16:53:11.044-0800	[........................] jagdb.xaa700m_row	1.20GB/44.3GB (2.7%)
2018-01-06T16:53:14.044-0800	[........................] jagdb.xaa700m_row	1.21GB/44.3GB (2.7%)
2018-01-06T16:53:17.044-0800	[........................] jagdb.xaa700m_row	1.21GB/44.3GB (2.7%)
2018-01-06T16:53:20.044-0800	[........................] jagdb.xaa700m_row	1.22GB/44.3GB (2.7%)
2018-01-06T16:53:23.044-0800	[........................] jagdb.xaa700m_row	1.22GB/44.3GB (2.8%)
2018-01-06T16:53:26.044-0800	[........................] jagdb.xaa700m_row	1.23GB/44.3GB (2.8%)
2018-01-06T16:53:29.044-0800	[........................] jagdb.xaa700m_row	1.23GB/44.3GB (2.8%)
2018-01-06T16:53:32.044-0800	[........................] jagdb.xaa700m_row	1.24GB/44.3GB (2.8%)
2018-01-06T16:53:35.044-0800	[........................] jagdb.xaa700m_row	1.25GB/44.3GB (2.8%)
2018-01-06T16:53:38.044-0800	[........................] jagdb.xaa700m_row	1.25GB/44.3GB (2.8%)
2018-01-06T16:53:41.044-0800	[........................] jagdb.xaa700m_row	1.26GB/44.3GB (2.8%)
2018-01-06T16:53:44.044-0800	[........................] jagdb.xaa700m_row	1.26GB/44.3GB (2.9%)
2018-01-06T16:53:47.044-0800	[........................] jagdb.xaa700m_row	1.27GB/44.3GB (2.9%)
2018-01-06T16:53:50.044-0800	[........................] jagdb.xaa700m_row	1.28GB/44.3GB (2.9%)
2018-01-06T16:53:53.044-0800	[........................] jagdb.xaa700m_row	1.28GB/44.3GB (2.9%)
2018-01-06T16:53:56.044-0800	[........................] jagdb.xaa700m_row	1.29GB/44.3GB (2.9%)
2018-01-06T16:53:59.044-0800	[........................] jagdb.xaa700m_row	1.30GB/44.3GB (2.9%)
2018-01-06T16:54:02.044-0800	[........................] jagdb.xaa700m_row	1.30GB/44.3GB (2.9%)
2018-01-06T16:54:05.044-0800	[........................] jagdb.xaa700m_row	1.31GB/44.3GB (2.9%)
2018-01-06T16:54:08.044-0800	[........................] jagdb.xaa700m_row	1.31GB/44.3GB (3.0%)
2018-01-06T16:54:11.044-0800	[........................] jagdb.xaa700m_row	1.32GB/44.3GB (3.0%)
2018-01-06T16:54:14.044-0800	[........................] jagdb.xaa700m_row	1.33GB/44.3GB (3.0%)
2018-01-06T16:54:17.044-0800	[........................] jagdb.xaa700m_row	1.33GB/44.3GB (3.0%)
2018-01-06T16:54:20.044-0800	[........................] jagdb.xaa700m_row	1.34GB/44.3GB (3.0%)
2018-01-06T16:54:23.044-0800	[........................] jagdb.xaa700m_row	1.34GB/44.3GB (3.0%)
2018-01-06T16:54:26.044-0800	[........................] jagdb.xaa700m_row	1.35GB/44.3GB (3.0%)
2018-01-06T16:54:29.044-0800	[........................] jagdb.xaa700m_row	1.35GB/44.3GB (3.0%)
2018-01-06T16:54:32.044-0800	[........................] jagdb.xaa700m_row	1.36GB/44.3GB (3.1%)
2018-01-06T16:54:35.044-0800	[........................] jagdb.xaa700m_row	1.36GB/44.3GB (3.1%)
2018-01-06T16:54:38.044-0800	[........................] jagdb.xaa700m_row	1.37GB/44.3GB (3.1%)
2018-01-06T16:54:41.044-0800	[........................] jagdb.xaa700m_row	1.38GB/44.3GB (3.1%)
2018-01-06T16:54:44.044-0800	[........................] jagdb.xaa700m_row	1.38GB/44.3GB (3.1%)
2018-01-06T16:54:47.044-0800	[........................] jagdb.xaa700m_row	1.39GB/44.3GB (3.1%)
2018-01-06T16:54:50.044-0800	[........................] jagdb.xaa700m_row	1.40GB/44.3GB (3.1%)
2018-01-06T16:54:53.044-0800	[........................] jagdb.xaa700m_row	1.40GB/44.3GB (3.2%)
2018-01-06T16:54:56.044-0800	[........................] jagdb.xaa700m_row	1.41GB/44.3GB (3.2%)
2018-01-06T16:54:59.044-0800	[........................] jagdb.xaa700m_row	1.41GB/44.3GB (3.2%)
2018-01-06T16:55:02.044-0800	[........................] jagdb.xaa700m_row	1.42GB/44.3GB (3.2%)
2018-01-06T16:55:05.044-0800	[........................] jagdb.xaa700m_row	1.43GB/44.3GB (3.2%)
2018-01-06T16:55:08.044-0800	[........................] jagdb.xaa700m_row	1.43GB/44.3GB (3.2%)
2018-01-06T16:55:11.044-0800	[........................] jagdb.xaa700m_row	1.44GB/44.3GB (3.2%)
2018-01-06T16:55:14.044-0800	[........................] jagdb.xaa700m_row	1.44GB/44.3GB (3.3%)
2018-01-06T16:55:17.044-0800	[........................] jagdb.xaa700m_row	1.45GB/44.3GB (3.3%)
2018-01-06T16:55:20.044-0800	[........................] jagdb.xaa700m_row	1.46GB/44.3GB (3.3%)
2018-01-06T16:55:23.044-0800	[........................] jagdb.xaa700m_row	1.46GB/44.3GB (3.3%)
2018-01-06T16:55:26.044-0800	[........................] jagdb.xaa700m_row	1.47GB/44.3GB (3.3%)
2018-01-06T16:55:29.044-0800	[........................] jagdb.xaa700m_row	1.47GB/44.3GB (3.3%)
2018-01-06T16:55:32.044-0800	[........................] jagdb.xaa700m_row	1.48GB/44.3GB (3.3%)
2018-01-06T16:55:35.044-0800	[........................] jagdb.xaa700m_row	1.48GB/44.3GB (3.3%)
2018-01-06T16:55:38.044-0800	[........................] jagdb.xaa700m_row	1.49GB/44.3GB (3.4%)
2018-01-06T16:55:41.044-0800	[........................] jagdb.xaa700m_row	1.49GB/44.3GB (3.4%)
2018-01-06T16:55:44.044-0800	[........................] jagdb.xaa700m_row	1.50GB/44.3GB (3.4%)
2018-01-06T16:55:47.044-0800	[........................] jagdb.xaa700m_row	1.51GB/44.3GB (3.4%)
2018-01-06T16:55:50.044-0800	[........................] jagdb.xaa700m_row	1.51GB/44.3GB (3.4%)
2018-01-06T16:55:53.044-0800	[........................] jagdb.xaa700m_row	1.52GB/44.3GB (3.4%)
2018-01-06T16:55:56.044-0800	[........................] jagdb.xaa700m_row	1.53GB/44.3GB (3.4%)
2018-01-06T16:55:59.044-0800	[........................] jagdb.xaa700m_row	1.53GB/44.3GB (3.5%)
2018-01-06T16:56:02.044-0800	[........................] jagdb.xaa700m_row	1.54GB/44.3GB (3.5%)
2018-01-06T16:56:05.044-0800	[........................] jagdb.xaa700m_row	1.54GB/44.3GB (3.5%)
2018-01-06T16:56:08.044-0800	[........................] jagdb.xaa700m_row	1.55GB/44.3GB (3.5%)
2018-01-06T16:56:11.044-0800	[........................] jagdb.xaa700m_row	1.56GB/44.3GB (3.5%)
2018-01-06T16:56:14.044-0800	[........................] jagdb.xaa700m_row	1.56GB/44.3GB (3.5%)
2018-01-06T16:56:17.044-0800	[........................] jagdb.xaa700m_row	1.57GB/44.3GB (3.5%)
2018-01-06T16:56:20.044-0800	[........................] jagdb.xaa700m_row	1.57GB/44.3GB (3.6%)
2018-01-06T16:56:23.044-0800	[........................] jagdb.xaa700m_row	1.58GB/44.3GB (3.6%)
2018-01-06T16:56:26.044-0800	[........................] jagdb.xaa700m_row	1.59GB/44.3GB (3.6%)
2018-01-06T16:56:29.044-0800	[........................] jagdb.xaa700m_row	1.59GB/44.3GB (3.6%)
